batter,pressure_score,impact_score,batsman_runs,clutch_index
PR Shah,1.309278350515464,2.829896907216495,92,20.055670103092787
PHKD Mendis,1.4722222222222223,2.5694444444444446,92,20.01666666666667
SL Malinga,3.621359223300971,2.383495145631068,88,20.00194174757282
Himmat Singh,2.0405405405405403,1.8581081081081081,92,19.959459459459463
S Rana,2.317073170731707,2.0304878048780486,91,19.9390243902439
AD Nath,1.404040404040404,3.186868686868687,90,19.836363636363636
MJ McClenaghan,2.904109589041096,4.061643835616438,85,19.786301369863015
DJ Jacobs,0.6633663366336634,2.767326732673267,92,19.772277227722775
Ankit Sharma,2.1159420289855073,3.369565217391304,87,19.594202898550726
RT Ponting,0.6124031007751938,2.302325581395349,91,19.365891472868217
Shahid Afridi,1.4130434782608696,6.282608695652174,81,19.278260869565216
NM Coulter-Nile,3.0933333333333333,3.4266666666666667,82,19.008000000000003
PWH de Silva,2.568421052631579,4.205263157894737,81,18.909473684210525
Iqbal Abdulla,2.4767441860465116,0.5872093023255814,88,18.825581395348838
AP Majumdar,0.5454545454545454,2.720779220779221,87,18.70649350649351
CJ Jordan,3.382716049382716,2.5864197530864197,81,18.587654320987653
WPUJC Vaas,2.671232876712329,2.7260273972602738,81,18.35890410958904
RE Levi,0.6486486486486487,3.385135135135135,83,18.213513513513515
AD Mascarenhas,2.151898734177215,3.588607594936709,79,18.09620253164557
B Akhil,2.526315789473684,3.807017543859649,76,17.733333333333334
RV Patel,2.1973684210526314,2.125,80,17.728947368421053
LA Carseldine,1.0,2.267605633802817,81,17.507042253521128
CR Woakes,2.74025974025974,1.7727272727272727,78,17.405194805194807
JJ Bumrah,3.3820224719101124,2.101123595505618,75,17.193258426966292
TR Birt,2.457627118644068,2.7966101694915255,75,17.10169491525424
KA Jamieson,2.0945945945945947,1.864864864864865,77,16.983783783783785
JR Philippe,0.6,2.4125,78,16.805
LH Ferguson,3.3877551020408165,2.5510204081632653,72,16.775510204081634
IR Jaggi,1.01,1.885,76,16.358
R Sharma,3.7662337662337664,2.9740259740259742,66,15.896103896103897
Avesh Khan,3.260869565217391,2.217391304347826,68,15.791304347826088
M Klinger,0.5256410256410257,2.423076923076923,73,15.77948717948718
J Suchith,2.0806451612903225,2.2661290322580645,70,15.738709677419354
SK Rasheed,0.6417910447761194,3.1343283582089554,71,15.71044776119403
RR Sarwan,0.46153846153846156,2.1346153846153846,73,15.63846153846154
AS Roy,2.30188679245283,3.990566037735849,65,15.516981132075472
WD Parnell,2.8255813953488373,2.627906976744186,65,15.18139534883721
AA Bilakhia,1.6818181818181819,1.7556818181818181,69,15.175
RR Powar,3.3125,1.0859375,67,15.159375
Vivrant Sharma,0.32653061224489793,2.4591836734693877,69,14.914285714285715
C Bosch,3.048780487804878,2.0,63,14.619512195121953
PR Veer,1.653061224489796,1.7040816326530612,66,14.542857142857144
HR Shokeen,1.373134328358209,1.9104477611940298,66,14.513432835820897
Mohammad Hafeez,1.0595238095238095,2.994047619047619,64,14.421428571428573
SP Jackson,2.1403508771929824,3.1666666666666665,61,14.32280701754386
Harshit Rana,2.5964912280701755,3.324561403508772,59,14.16842105263158
Anirudh Singh,1.173913043478261,2.2318840579710146,63,13.962318840579712
Sandeep Sharma,2.911392405063291,1.2658227848101267,60,13.670886075949367
A Flintoff,1.3157894736842106,1.8508771929824561,62,13.666666666666668
I Sharma,3.0985915492957745,2.119718309859155,57,13.487323943661973
S Aravind,2.847457627118644,1.347457627118644,59,13.477966101694916
RP Singh,3.58974358974359,4.012820512820513,52,13.441025641025641
TU Deshpande,3.3947368421052633,3.0657894736842106,54,13.38421052631579
Vishnu Vinod,1.206896551724138,3.4310344827586206,56,13.055172413793105
Shivam Mavi,3.5,3.4482758620689653,51,12.979310344827589
MG Bracewell,1.183673469387755,2.204081632653061,58,12.955102040816328
AS Yadav,2.975,4.725,49,12.88
A Kamboj,3.297872340425532,1.1702127659574468,55,12.787234042553191
M Rawat,2.5428571428571427,1.6928571428571428,55,12.694285714285714
WA Mota,1.5921052631578947,1.9539473684210527,56,12.61842105263158
PVD Chameera,3.4081632653061225,1.4489795918367347,53,12.542857142857144
RV Gomez,3.2264150943396226,3.1037735849056602,50,12.532075471698114
Swapnil Singh,1.934782608695652,3.4130434782608696,51,12.33913043478261
R Rampaul,2.6923076923076925,2.5288461538461537,51,12.28846153846154
A Nortje,3.673076923076923,2.4615384615384617,49,12.253846153846155
KB Arun Karthik,2.207547169811321,2.69811320754717,51,12.162264150943397
Shoaib Malik,0.8571428571428571,3.204081632653061,52,12.024489795918367
OF Smith,2.98,1.54,51,12.008000000000001
DR Sams,2.5,5.333333333333333,44,11.933333333333334
D Pretorius,3.642857142857143,4.107142857142857,44,11.9
DJ Willey,1.625,1.6015625,53,11.890625000000002
A Chopra,0.7466666666666667,2.3533333333333335,53,11.840000000000002
SB Bangar,1.8275862068965518,2.939655172413793,49,11.706896551724139
VR Aaron,3.643835616438356,0.5753424657534246,50,11.687671232876712
M Markande,3.3863636363636362,1.6477272727272727,48,11.613636363636365
Ravi Bishnoi,3.1549295774647885,3.2464788732394365,45,11.56056338028169
Umar Gul,3.6315789473684212,5.2105263157894735,39,11.336842105263159
AG Paunikar,0.7377049180327869,2.8852459016393444,49,11.249180327868853
C Nanda,6.0,22.0,0,11.200000000000001
Sunny Gupta,6.0,22.0,0,11.200000000000001
RR Bhatkal,6.0,22.0,0,11.200000000000001
S Kaushik,6.0,22.0,0,11.200000000000001
S Lamichhane,6.0,22.0,0,11.200000000000001
V Pratap Singh,6.0,22.0,0,11.200000000000001
TL Seifert,1.0909090909090908,4.3977272727272725,45,11.195454545454545
AUK Pathan,2.1923076923076925,5.961538461538462,39,11.061538461538461
Sunny Singh,1.4838709677419355,4.564516129032258,43,11.019354838709678
Rasikh Salam,2.604651162790698,3.104651162790698,43,10.883720930232558
SK Trivedi,3.7704918032786887,2.4262295081967213,42,10.878688524590164
T Kohler-Cadmore,0.7037037037037037,2.3703703703703702,48,10.82962962962963
Yashpal Singh,1.2537313432835822,1.9179104477611941,47,10.66865671641791
A Nehra,3.746031746031746,2.2777777777777777,41,10.609523809523811
JL Denly,3.0,23.5,0,10.600000000000001
S Nadeem,3.2386363636363638,3.590909090909091,39,10.531818181818183
MM Patel,3.4390243902439024,2.7560975609756095,39,10.278048780487806
MD Shanaka,1.8157894736842106,2.723684210526316,42,10.215789473684211
S Narwal,2.586206896551724,4.068965517241379,37,10.062068965517241
A Mithun,2.3461538461538463,5.596153846153846,34,9.976923076923079
Joginder Sharma,3.4,3.433333333333333,36,9.933333333333334
LPC Silva,1.5185185185185186,3.314814814814815,40,9.933333333333334
L Balaji,3.54,2.81,36,9.74
J Yadav,2.710526315789474,1.5394736842105263,40,9.7
M Ashwin,3.08,3.51,35,9.636
AB Barath,0.9069767441860465,2.1744186046511627,42,9.632558139534884
BR Dunk,0.6388888888888888,3.4305555555555554,40,9.627777777777778
GF Linde,3.7142857142857144,3.9285714285714284,31,9.257142857142856
Sohail Tanvir,1.7419354838709677,3.2903225806451615,36,9.212903225806452
N Sindhu,0.56,3.94,37,9.200000000000001
AP Dole,3.1739130434782608,2.8043478260869565,34,9.191304347826087
G Coetzee,3.0303030303030303,4.4393939393939394,31,9.187878787878788
Anureet Singh,2.978723404255319,1.7872340425531914,36,9.106382978723405
AN Ahmed,3.4074074074074074,1.2222222222222223,36,9.051851851851852
RA Bawa,2.28125,2.84375,35,9.05
KW Richardson,2.2051282051282053,2.2051282051282053,36,8.964102564102564
YS Chahal,2.943820224719101,0.8370786516853933,37,8.9123595505618
DJ Thornely,0.5925925925925926,2.175925925925926,39,8.907407407407408
Akash Deep,3.357142857142857,6.357142857142857,25,8.885714285714286
Imran Tahir,3.27027027027027,2.4054054054054053,33,8.870270270270272
Noor Ahmad,3.3703703703703702,3.7777777777777777,30,8.85925925925926
Arshdeep Singh,3.673469387755102,2.204081632653061,32,8.751020408163265
Navdeep Saini,2.736842105263158,2.5657894736842106,33,8.721052631578948
Shivang Kumar,3.1739130434782608,5.543478260869565,26,8.68695652173913
Kartik Tyagi,3.68,5.6,24,8.512
A Kumble,3.183673469387755,0.5,35,8.473469387755102
SB Wagh,5.0,15.166666666666666,2,8.466666666666667
S Sreesanth,3.736842105263158,0.34210526315789475,34,8.431578947368422
