batter,batsman_runs,impact_score,death_score
Arshdeep Singh,27,2.5952380952380953,17.238095238095237
Navdeep Saini,27,2.0,17.0
PC Valthaty,27,1.5,16.8
Suryansh Shedge,25,4.0,16.6
JP Inglis,26,2.088235294117647,16.435294117647057
DR Sams,24,4.9,16.36
KS Bharat,26,1.2142857142857142,16.085714285714285
S Nadeem,23,5.278846153846154,15.911538461538461
AS Rajpoot,25,2.0142857142857142,15.805714285714286
D Salunkhe,25,1.9411764705882353,15.776470588235295
Shahid Afridi,22,6.4,15.76
Mohsin Khan,24,3.227272727272727,15.69090909090909
Harpreet Singh,24,3.2222222222222223,15.688888888888888
J Yadav,25,1.6153846153846154,15.646153846153846
Shivang Kumar,22,5.852941176470588,15.541176470588235
A Choudhary,24,2.8157894736842106,15.526315789473683
KB Arun Karthik,25,1.2,15.48
Azmatullah Omarzai,23,3.5,15.2
CV Varun,25,0.4,15.16
K Goel,24,1.7,15.079999999999998
E Lewis,24,1.6666666666666667,15.066666666666665
PD Salt,24,1.6363636363636365,15.054545454545453
SS Prabhudessai,23,3.090909090909091,15.036363636363635
PJ Sangwan,22,4.337837837837838,14.935135135135134
Umar Gul,21,5.714285714285714,14.885714285714286
G Coetzee,21,5.428571428571429,14.771428571428572
MD Mishra,23,2.2333333333333334,14.693333333333332
LPC Silva,23,1.95,14.579999999999998
Umran Malik,23,1.9375,14.575
B Sumanth,23,1.1428571428571428,14.257142857142856
SA Abbott,20,5.409090909090909,14.163636363636364
R Ravindra,21,3.75,14.1
GB Hogg,22,2.0681818181818183,14.027272727272727
PR Veer,23,0.05,13.819999999999999
M Muralitharan,20,4.05,13.620000000000001
SB Styris,21,2.526315789473684,13.610526315789473
A Flintoff,22,0.7857142857142857,13.514285714285714
Kartik Tyagi,19,4.842105263157895,13.336842105263159
S Narwal,19,4.59375,13.2375
PR Shah,19,4.575,13.23
ER Dwivedi,19,4.222222222222222,13.088888888888889
C Sakariya,19,3.9038461538461537,12.961538461538462
RA Bawa,20,2.25,12.9
DE Bollinger,21,0.717391304347826,12.88695652173913
SP Jackson,19,3.425,12.77
J Syed Mohammad,20,1.75,12.7
DJ Willey,21,0.20588235294117646,12.68235294117647
PP Shaw,18,4.625,12.649999999999999
NL McCullum,18,4.5625,12.625
Harmeet Singh,18,4.541666666666667,12.616666666666665
KMA Paul,18,4.425,12.569999999999999
